prism-nomtp-3	code	think=0	512 tok	70.5 tok/s	draft -
prism-nomtp-3	sql	think=0	512 tok	71.5 tok/s	draft -
prism-nomtp-3	prose	think=0	512 tok	71 tok/s	draft -
prism-nomtp-3	reasoning	think=0	512 tok	70.7 tok/s	draft -
prism-nomtp-3	code	think=1	512 tok	70.2 tok/s	draft -
prism-nomtp-3	reasoning	think=1	512 tok	69.8 tok/s	draft -
fork-nomtp-f32-1	code	think=0	512 tok	72.2 tok/s	draft -
fork-nomtp-f32-1	sql	think=0	512 tok	71.3 tok/s	draft -
fork-nomtp-f32-1	prose	think=0	512 tok	72.6 tok/s	draft -
fork-nomtp-f32-1	reasoning	think=0	512 tok	71.6 tok/s	draft -
fork-nomtp-f32-1	code	think=1	512 tok	70.5 tok/s	draft -
fork-nomtp-f32-1	reasoning	think=1	512 tok	62.1 tok/s	draft -
prism-nomtp-4	code	think=0	512 tok	60.2 tok/s	draft -
prism-nomtp-4	sql	think=0	512 tok	62.4 tok/s	draft -
prism-nomtp-4	prose	think=0	512 tok	60.5 tok/s	draft -
prism-nomtp-4	reasoning	think=0	512 tok	58.3 tok/s	draft -
prism-nomtp-4	code	think=1	512 tok	61.1 tok/s	draft -
prism-nomtp-4	reasoning	think=1	512 tok	58 tok/s	draft -
fork-nomtp-f32-2	code	think=0	512 tok	64 tok/s	draft -
fork-nomtp-f32-2	sql	think=0	512 tok	54.8 tok/s	draft -
fork-nomtp-f32-2	prose	think=0	512 tok	59.7 tok/s	draft -
fork-nomtp-f32-2	reasoning	think=0	512 tok	56.7 tok/s	draft -
fork-nomtp-f32-2	code	think=1	512 tok	68.7 tok/s	draft -
fork-nomtp-f32-2	reasoning	think=1	512 tok	60.3 tok/s	draft -
